site_algo,direction,overlap,fragmentation,composite,timing_ms_gpu,timing_ms_kernel,timing_ms_cpu,gflops_est
libya_samgeo,forward,0.593642,0.594632,0.500495,280.841,0.903444,2.98502,3.731
libya_samgeo,backward,0.707811,0.424721,0.358455,280.841,0.903444,2.98502,3.731
libya_samgeo,symmetric,0.650727,0.509677,0.429475,280.841,0.903444,2.98502,3.731
hathaway_samgeo,forward,0.814527,0.300575,0.243024,287.887,2.28451,10.5647,10.1207
hathaway_samgeo,backward,0.729987,0.320074,0.295044,287.887,2.28451,10.5647,10.1207
hathaway_samgeo,symmetric,0.772257,0.310325,0.269034,287.887,2.28451,10.5647,10.1207
rosebud_samgeo,forward,0.749136,0.351241,0.301052,254.576,0.433268,0.951871,4.88151
rosebud_samgeo,backward,0.733275,0.360526,0.313625,254.576,0.433268,0.951871,4.88151
rosebud_samgeo,symmetric,0.741206,0.355883,0.307339,254.576,0.433268,0.951871,4.88151
hathawaynorth_samgeo,forward,0.865428,0.196001,0.165287,281.772,2.09685,7.8711,8.07353
hathawaynorth_samgeo,backward,0.630679,0.40323,0.386276,281.772,2.09685,7.8711,8.07353
hathawaynorth_samgeo,symmetric,0.748054,0.299616,0.275781,281.772,2.09685,7.8711,8.07353
