algo_i,algo_j,overlap_ab_t0,overlap_ba_t0,overlap_sym_t0,fragmentation_ab_t0,fragmentation_ba_t0,fragmentation_sym_t0,composite_ab_t0,composite_ba_t0,composite_sym_t0,overlap_ab_t1,overlap_ba_t1,overlap_sym_t1,fragmentation_ab_t1,fragmentation_ba_t1,fragmentation_sym_t1,composite_ab_t1,composite_ba_t1,composite_sym_t1
felzenszwalb,meanshift,0.16220908398898226,0.22234917130975074,0.1922791276493665,0.8629765891824578,0.7850221993460744,0.823999394264266,0.8503837525967377,0.7813365140181618,0.8158601333074498,0.19911589456489903,0.2485367169438685,0.22382630575438378,0.8370351449219672,0.7915215638000168,0.8142783543609919,0.818959625178534,0.7714924234280742,0.7952260243033041
felzenszwalb,quickshift,0.15845716901540174,0.8221071701880561,0.49028216960172893,0.9583156684230808,0.25186319057894435,0.6050894295010125,0.8999292497038396,0.2148780101954441,0.5574036299496419,0.1838006230529595,0.8045208963534847,0.4941607597032221,0.9470347611795683,0.2666609633584112,0.6068478622689898,0.8816170690633044,0.23107003350246327,0.5563435512828838
felzenszwalb,rezsd,0.8292739705759296,0.15434998319195367,0.4918119768839416,0.2490454133505481,0.9073562600954725,0.5782008367230104,0.20988572138730927,0.8765031384517594,0.5431944299195344,0.8958933146255373,0.19211928303760892,0.5440062988315731,0.1303526498455586,0.8717360217175376,0.5010443357815482,0.11722966761001063,0.8398083693399643,0.47851901847498746
felzenszwalb,samgeo,0.8168238554386409,0.31579930295106445,0.5663115791948526,0.2817964680365717,0.8556989436681851,0.5687477058523784,0.2324863062989654,0.7699498203585604,0.501218063328763,0.8641589421760084,0.33935114278470635,0.6017550424803574,0.17555318735942096,0.8336497511054526,0.5046014692324368,0.15569712259170626,0.7471493041603732,0.45142321337603974
meanshift,felzenszwalb,0.22234917130975074,0.16220908398898226,0.1922791276493665,0.7850221993460742,0.862976589182458,0.823999394264266,0.7813365140181617,0.8503837525967379,0.8158601333074498,0.2485367169438685,0.19911589456489903,0.22382630575438378,0.7915215638000167,0.837035144921967,0.8142783543609918,0.7714924234280741,0.818959625178534,0.795226024303304
meanshift,quickshift,0.03422847882403322,0.297913283220937,0.16607088102248513,0.9744843427235412,0.7630714371370212,0.8687778899302812,0.970127931949754,0.732579076958042,0.851353504453898,0.03328853186634576,0.32780434608959597,0.18054643897797087,0.9754286460675342,0.7548158527377556,0.8651222494026449,0.9710700571005942,0.7135057533240798,0.8422879052123371
meanshift,rezsd,0.6656107951378565,0.07323385942566572,0.3694223272817611,0.34017559691701654,0.9331671185257112,0.6366713577213639,0.33728240088958006,0.9299666295500227,0.6336245152198015,0.7635602579730982,0.10614474694117115,0.4348525024571347,0.2319726945433315,0.9066915423390396,0.5693321184411856,0.23420621828511662,0.9002733976989342,0.5672398079920254
meanshift,samgeo,0.5354837981146612,0.10289796198457134,0.31919088004961627,0.5383411353857065,0.9182071829464841,0.7282741591660953,0.5014286686355227,0.9076546104809564,0.7045416395582396,0.5076243530124066,0.15485968574144113,0.3312420193769239,0.5391339992054371,0.8696776685134638,0.7044058338594505,0.5157548230965152,0.8574089913860113,0.6865819072412633
quickshift,felzenszwalb,0.8221071701880561,0.15845716901540174,0.49028216960172893,0.2518631905789444,0.9583156684230808,0.6050894295010126,0.21487801019544414,0.8999292497038396,0.5574036299496419,0.8045208963534847,0.1838006230529595,0.4941607597032221,0.2666609633584113,0.9470347611795685,0.6068478622689899,0.2310700335024633,0.8816170690633045,0.5563435512828839
quickshift,meanshift,0.297913283220937,0.03422847882403322,0.16607088102248513,0.7630714371370213,0.9744843427235411,0.8687778899302812,0.7325790769580421,0.970127931949754,0.851353504453898,0.32780434608959597,0.03328853186634576,0.18054643897797087,0.7548158527377555,0.9754286460675342,0.8651222494026449,0.7135057533240798,0.9710700571005942,0.8422879052123371
quickshift,rezsd,0.9415841489554835,0.0055661995255527185,0.4735751742405181,0.15897834663933305,0.9955777416091326,0.5772780441242328,0.10869709884192479,0.9950057710417899,0.5518514349418573,0.9395371209674339,0.006021282433310063,0.47277920170037196,0.19217892354715796,0.99578970367264,0.593984313609899,0.126320901289862,0.9948842106196649,0.5606025559547635
quickshift,samgeo,0.9241005957952957,0.036478817084155755,0.48028970643972574,0.18067595656216306,0.991927915511378,0.5863019360367705,0.1282876803834337,0.9777245492136111,0.5530061147985224,0.9173957034582796,0.03207906590677822,0.4747373846825289,0.19796634987758047,0.9905617597401906,0.5942640548088856,0.14028532320965043,0.9792413469167062,0.5597633350631783
rezsd,felzenszwalb,0.15434998319195367,0.8292739705759296,0.4918119768839416,0.9073562600954725,0.2490454133505481,0.5782008367230104,0.8765031384517594,0.20988572138730927,0.5431944299195344,0.19211928303760892,0.8958933146255373,0.5440062988315731,0.8717360217175375,0.1303526498455586,0.5010443357815481,0.8398083693399643,0.11722966761001063,0.47851901847498746
rezsd,meanshift,0.07323385942566572,0.6656107951378565,0.3694223272817611,0.9331671185257111,0.34017559691701654,0.6366713577213639,0.9299666295500226,0.33728240088958006,0.6336245152198013,0.10614474694117115,0.7635602579730982,0.4348525024571347,0.9066915423390397,0.2319726945433315,0.5693321184411856,0.9002733976989343,0.23420621828511662,0.5672398079920254
rezsd,quickshift,0.0055661995255527185,0.9415841489554835,0.4735751742405181,0.9955777416091327,0.15897834663933305,0.5772780441242329,0.99500577104179,0.10869709884192479,0.5518514349418574,0.006021282433310063,0.9395371209674339,0.47277920170037196,0.99578970367264,0.19217892354715796,0.593984313609899,0.9948842106196649,0.126320901289862,0.5606025559547635
rezsd,samgeo,0.4408282935735933,0.7457054066316644,0.5932668501026288,0.6887502802080744,0.3186490375717352,0.5036996588899048,0.6239609933172405,0.2864718154700354,0.455216404393638,0.39728337564582994,0.866908096794322,0.632095736220076,0.6476080298613147,0.15417585577012685,0.40089194281572077,0.6251623271077424,0.1436338794879024,0.3843981032978224
samgeo,felzenszwalb,0.31579930295106445,0.8168238554386409,0.5663115791948526,0.8556989436681851,0.2817964680365717,0.5687477058523784,0.7699498203585604,0.2324863062989654,0.501218063328763,0.33935114278470635,0.8641589421760084,0.6017550424803574,0.8336497511054527,0.17555318735942096,0.5046014692324369,0.7471493041603732,0.15569712259170626,0.45142321337603974
samgeo,meanshift,0.10289796198457134,0.5354837981146612,0.31919088004961627,0.9182071829464837,0.5383411353857064,0.7282741591660951,0.9076546104809562,0.5014286686355226,0.7045416395582393,0.15485968574144113,0.5076243530124066,0.3312420193769239,0.8696776685134637,0.5391339992054371,0.7044058338594504,0.8574089913860112,0.5157548230965152,0.6865819072412632
samgeo,quickshift,0.036478817084155755,0.9241005957952957,0.48028970643972574,0.9919279155113784,0.1806759565621631,0.5863019360367707,0.9777245492136113,0.1282876803834337,0.5530061147985225,0.03207906590677822,0.9173957034582796,0.4747373846825289,0.9905617597401901,0.19796634987758047,0.5942640548088853,0.979241346916706,0.14028532320965043,0.5597633350631782
samgeo,rezsd,0.7457054066316644,0.4408282935735933,0.5932668501026288,0.3186490375717352,0.6887502802080744,0.5036996588899048,0.2864718154700354,0.6239609933172405,0.455216404393638,0.866908096794322,0.39728337564582994,0.632095736220076,0.15417585577012685,0.6476080298613147,0.40089194281572077,0.1436338794879024,0.6251623271077424,0.3843981032978224
