algo_i,algo_j,overlap_ab_t0,overlap_ba_t0,overlap_sym_t0,fragmentation_ab_t0,fragmentation_ba_t0,fragmentation_sym_t0,composite_ab_t0,composite_ba_t0,composite_sym_t0,overlap_ab_t1,overlap_ba_t1,overlap_sym_t1,fragmentation_ab_t1,fragmentation_ba_t1,fragmentation_sym_t1,composite_ab_t1,composite_ba_t1,composite_sym_t1
felzenszwalb,meanshift,0.25438151486671223,0.24936809352927775,0.251874804197995,0.7853106514323455,0.8188683961617639,0.8020895237970547,0.7654645682828166,0.7847501513162431,0.7751073597995299,0.3694757134313055,0.3514423487696514,0.36045903110047844,0.728161484495542,0.7930130564071837,0.7605872704513628,0.6793428855321182,0.7207853538187661,0.7000641196754421
felzenszwalb,quickshift,0.2731179867281841,0.8268683071314651,0.5499931469298246,0.8886009303434261,0.23162764975773184,0.560114290050579,0.807741471807621,0.2023796713131334,0.5050605715603772,0.2950024208247892,0.825335711437685,0.5601690661312371,0.909763772001147,0.23824156548490352,0.5740026687430253,0.8073806755881789,0.20645292702360923,0.5069168013058941
felzenszwalb,rezsd,0.7697056917862839,0.09847416837548417,0.43408993008088403,0.33418099847059934,0.9174567932030578,0.6258188958368286,0.2822376533421577,0.9094913124137869,0.5958644828779723,0.8568073237069948,0.20319531071998173,0.5300013172134882,0.1929500608200733,0.8879228771000345,0.5404364689600539,0.16807136855653926,0.8423637831900264,0.5052175758732829
felzenszwalb,samgeo,0.6824064778423331,0.5527997906698564,0.6176031342560948,0.36064457531607175,0.8560887406111976,0.6083666579636346,0.3391190487368693,0.6516444749706706,0.4953817618537699,0.7093328135680108,0.6249866498632946,0.6671597317156527,0.40209568348974767,0.8627241420593139,0.6324099127745308,0.34638143496086843,0.6188687460980097,0.482625090529439
meanshift,felzenszwalb,0.24936809352927775,0.25438151486671223,0.251874804197995,0.818868396161764,0.7853106514323455,0.8020895237970547,0.7847501513162431,0.7654645682828166,0.7751073597995299,0.3514423487696514,0.3694757134313055,0.36045903110047844,0.7930130564071836,0.7281614844955419,0.7605872704513628,0.7207853538187661,0.6793428855321182,0.7000641196754421
meanshift,quickshift,0.10920500825928457,0.468183954203691,0.2886944812314878,0.9335371408551084,0.5604535499159599,0.7469953453855341,0.9121660662979119,0.5461347978561344,0.7291504320770231,0.11301068722943722,0.5289137260765551,0.32096220665299613,0.9148862378503909,0.5561095476062712,0.7354978927283311,0.9009377753104768,0.5135979107648581,0.7072678430376674
meanshift,rezsd,0.6510238664843928,0.0897627591706539,0.37039331282752336,0.3576624369639119,0.9181605697508184,0.6379115033573651,0.35331928523975953,0.9141989052900823,0.6337590952649209,0.7183886562998405,0.20298081852358169,0.4606847374117111,0.31416726137606343,0.8572725582771678,0.5857199098266156,0.29788930253811147,0.8271458698767931,0.5625175862074523
meanshift,samgeo,0.44415726817042606,0.27174114262930055,0.3579492053998633,0.564760051569575,0.8684168877770944,0.7165884696733347,0.5603013916995745,0.7983378725738969,0.6793196321367356,0.44930686090225563,0.38442964655958073,0.4168682537309182,0.6969655373983384,0.804006935504547,0.7504862364514427,0.6238293382480413,0.7097886444724832,0.6668089913602623
quickshift,felzenszwalb,0.8268683071314651,0.2731179867281841,0.5499931469298246,0.23162764975773184,0.8886009303434261,0.560114290050579,0.2023796713131334,0.807741471807621,0.5050605715603772,0.825335711437685,0.2950024208247892,0.5601690661312371,0.23824156548490352,0.9097637720011467,0.5740026687430251,0.20645292702360923,0.8073806755881787,0.506916801305894
quickshift,meanshift,0.468183954203691,0.10920500825928457,0.2886944812314878,0.56045354991596,0.9335371408551084,0.7469953453855342,0.5461347978561345,0.9121660662979119,0.7291504320770232,0.5289137260765551,0.11301068722943722,0.32096220665299613,0.5561095476062712,0.9148862378503908,0.735497892728331,0.5135979107648581,0.9009377753104768,0.7072678430376674
