algo_i,algo_j,overlap_ab_t0,overlap_ba_t0,overlap_sym_t0,fragmentation_ab_t0,fragmentation_ba_t0,fragmentation_sym_t0,composite_ab_t0,composite_ba_t0,composite_sym_t0,overlap_ab_t1,overlap_ba_t1,overlap_sym_t1,fragmentation_ab_t1,fragmentation_ba_t1,fragmentation_sym_t1,composite_ab_t1,composite_ba_t1,composite_sym_t1
felzenszwalb,meanshift,0.19732907801418437,0.2767007092198582,0.23701489361702127,0.8196945412217544,0.746573164271044,0.7831338527463992,0.8111827316037851,0.734936227525593,0.773059479564689,0.23544964539007093,0.24063687943262413,0.23804326241134754,0.7937693830216906,0.7930086182335991,0.793389000627645,0.7791598688158099,0.7761858694004875,0.7776728691081487
felzenszwalb,quickshift,0.23010496453900708,0.7775290780141844,0.5038170212765958,0.8933973268087264,0.28690169130402443,0.5901495090563754,0.8316461811348597,0.25468630664492004,0.5431662438898899,0.2873078014184397,0.7639886524822695,0.5256482269503546,0.8590274782641487,0.30017244203792004,0.5795999601510344,0.7858598384228546,0.26809189477782525,0.5269758666003399
felzenszwalb,rezsd,0.8974539007092199,0.16680851063829788,0.5321312056737589,0.17705737893632806,0.8704136662904225,0.5237355226133753,0.13980173911355406,0.8518025778260623,0.4958021584698082,0.9001787234042553,0.13507517730496454,0.5176269503546099,0.13857139781559089,0.9134833740696369,0.5260273859426139,0.11919633720566779,0.8892040983823362,0.5042002177940019
felzenszwalb,samgeo,0.7420978723404256,0.35284113475177303,0.5474695035460992,0.29693703106478486,0.7782231514623728,0.5375800912635789,0.27741957936217965,0.7126910083552999,0.49505529385873975,0.7903248226950356,0.3378709219858156,0.5640978723404255,0.24221920417353016,0.8384912277649863,0.5403552159692582,0.2259471907392473,0.7503101528895854,0.4881286718144163
meanshift,felzenszwalb,0.2767007092198582,0.19732907801418437,0.23701489361702127,0.746573164271044,0.8196945412217544,0.7831338527463992,0.734936227525593,0.8111827316037851,0.773059479564689,0.24063687943262413,0.23544964539007093,0.23804326241134754,0.793008618233599,0.7937693830216909,0.793389000627645,0.7761858694004875,0.7791598688158099,0.7776728691081487
meanshift,quickshift,0.08597446808510638,0.31282127659574466,0.19939787234042552,0.9321873065521121,0.7023917157537901,0.8172895111529511,0.9231064192335029,0.6947852195790227,0.8089458194062629,0.08157446808510638,0.3108865248226951,0.19623049645390073,0.9419771196960743,0.7184695963393269,0.8302233580177006,0.930201325805484,0.703791535758316,0.8169964307819
meanshift,rezsd,0.8690382978723403,0.10611347517730496,0.48757588652482264,0.14099977184130957,0.9178932336571108,0.5294465027492102,0.13598073698448462,0.9058898792399029,0.5209353081121938,0.8270085106382978,0.12880141843971632,0.4779049645390071,0.17332685762477035,0.9122368005795456,0.542781829102158,0.17315917349323626,0.8917176910699146,0.5324384322815754
meanshift,samgeo,0.5677163120567377,0.14533333333333331,0.3565248226950355,0.48339686333522836,0.8636428614243161,0.6735198623797722,0.45784027563924534,0.8591547640454914,0.6584975198423684,0.5664042553191488,0.17345390070921984,0.36992907801418434,0.47857329318184877,0.8396584002452429,0.6591158467135458,0.45608451893134994,0.8331022497680115,0.6445933843496807
quickshift,felzenszwalb,0.7775290780141844,0.23010496453900708,0.5038170212765958,0.28690169130402443,0.8933973268087266,0.5901495090563755,0.25468630664492004,0.8316461811348598,0.5431662438898899,0.7639886524822695,0.2873078014184397,0.5256482269503546,0.30017244203792,0.8590274782641486,0.5795999601510343,0.26809189477782525,0.7858598384228545,0.5269758666003399
quickshift,meanshift,0.31282127659574466,0.08597446808510638,0.19939787234042552,0.7023917157537901,0.9321873065521121,0.8172895111529511,0.6947852195790227,0.9231064192335029,0.8089458194062629,0.3108865248226951,0.08157446808510638,0.19623049645390073,0.718469596339327,0.9419771196960742,0.8302233580177006,0.703791535758316,0.930201325805484,0.8169964307819
quickshift,rezsd,0.9267148936170213,0.016558865248226952,0.4716368794326241,0.15660583294412075,0.9892353923808718,0.5729206126624963,0.11494546966354972,0.9863382635663225,0.5506418666149361,0.9229985815602837,0.023506382978723404,0.47325248226950356,0.13181761427484984,0.985886247168371,0.5588519307216104,0.10440951635728307,0.9811899320948239,0.5427997242260535
quickshift,samgeo,0.8375432624113476,0.14432056737588653,0.49093191489361704,0.21303265964106063,0.9732318135564745,0.5931322365987676,0.18774469861485654,0.914455623090294,0.5511001608525753,0.8797290780141844,0.1620113475177305,0.5208702127659575,0.16737359280402445,0.9766855196777492,0.5720295562408868,0.14382225739492,0.9073370860800094,0.5255796717374647
rezsd,felzenszwalb,0.16680851063829788,0.8974539007092199,0.5321312056737589,0.8704136662904227,0.17705737893632806,0.5237355226133754,0.8518025778260624,0.13980173911355406,0.49580215846980824,0.13507517730496454,0.9001787234042553,0.5176269503546099,0.9134833740696371,0.13857139781559089,0.526027385942614,0.8892040983823363,0.11919633720566779,0.504200217794002
rezsd,meanshift,0.10611347517730496,0.8690382978723403,0.48757588652482264,0.9178932336571108,0.14099977184130957,0.5294465027492102,0.9058898792399029,0.13598073698448462,0.5209353081121938,0.12880141843971632,0.8270085106382978,0.4779049645390071,0.9122368005795457,0.17332685762477035,0.542781829102158,0.8917176910699147,0.17315917349323626,0.5324384322815755
rezsd,quickshift,0.016558865248226952,0.9267148936170213,0.4716368794326241,0.9892353923808718,0.15660583294412075,0.5729206126624963,0.9863382635663225,0.11494546966354972,0.5506418666149361,0.023506382978723404,0.9229985815602837,0.47325248226950356,0.985886247168371,0.13181761427484984,0.5588519307216104,0.9811899320948239,0.10440951635728307,0.5427997242260535
rezsd,samgeo,0.602086524822695,0.9021304964539005,0.7521085106382978,0.5191823853999507,0.15628712002010722,0.33773475271002895,0.45854793028862784,0.12707831178310336,0.2928131210358656,0.49015886524822694,0.7674000000000001,0.6287794326241135,0.6648746377712715,0.3530713815872324,0.508973009679252,0.5873578862615223,0.29283569079361615,0.4400967885275692
samgeo,felzenszwalb,0.35284113475177303,0.7420978723404256,0.5474695035460992,0.7782231514623725,0.29693703106478486,0.5375800912635786,0.7126910083552997,0.27741957936217965,0.4950552938587397,0.3378709219858156,0.7903248226950356,0.5640978723404255,0.8384912277649861,0.24221920417353018,0.5403552159692582,0.7503101528895852,0.2259471907392473,0.48812867181441627
samgeo,meanshift,0.14533333333333331,0.5677163120567377,0.3565248226950355,0.8636428614243162,0.4833968633352283,0.6735198623797722,0.8591547640454915,0.45784027563924534,0.6584975198423684,0.17345390070921984,0.5664042553191488,0.36992907801418434,0.8396584002452427,0.47857329318184877,0.6591158467135457,0.8331022497680114,0.45608451893134994,0.6445933843496807
samgeo,quickshift,0.14432056737588653,0.8375432624113476,0.49093191489361704,0.9732318135564744,0.21303265964106063,0.5931322365987675,0.9144556230902939,0.18774469861485654,0.5511001608525752,0.1620113475177305,0.8797290780141844,0.5208702127659575,0.9766855196777492,0.16737359280402442,0.5720295562408868,0.9073370860800094,0.14382225739492,0.5255796717374647
samgeo,rezsd,0.9021304964539005,0.602086524822695,0.7521085106382978,0.15628712002010722,0.5191823853999505,0.3377347527100289,0.12707831178310336,0.4585479302886278,0.29281312103586554,0.7674000000000001,0.49015886524822694,0.6287794326241135,0.3530713815872324,0.6648746377712718,0.5089730096792521,0.29283569079361615,0.5873578862615224,0.4400967885275693
